year,geo,age_group,gender,level,pct
2023,Quebec,55–64,Total,College/CEGEP,25.0
2024,Quebec,55–64,Total,College/CEGEP,25.0
2025,Quebec,55–64,Total,College/CEGEP,24.0
2000,Quebec,55–64,Total,High school,19.0
2001,Quebec,55–64,Total,High school,18.0
2002,Quebec,55–64,Total,High school,19.0
2003,Quebec,55–64,Total,High school,19.0
2004,Quebec,55–64,Total,High school,21.0
2005,Quebec,55–64,Total,High school,22.0
2006,Quebec,55–64,Total,High school,22.0
2007,Quebec,55–64,Total,High school,23.0
2008,Quebec,55–64,Total,High school,24.0
2009,Quebec,55–64,Total,High school,25.0
2010,Quebec,55–64,Total,High school,26.0
2011,Quebec,55–64,Total,High school,24.0
2012,Quebec,55–64,Total,High school,24.0
2013,Quebec,55–64,Total,High school,26.0
2014,Quebec,55–64,Total,High school,25.0
2015,Quebec,55–64,Total,High school,25.0
2016,Quebec,55–64,Total,High school,26.0
2017,Quebec,55–64,Total,High school,25.0
2018,Quebec,55–64,Total,High school,25.0
2019,Quebec,55–64,Total,High school,24.0
2020,Quebec,55–64,Total,High school,23.0
2021,Quebec,55–64,Total,High school,24.0
2022,Quebec,55–64,Total,High school,22.0
2023,Quebec,55–64,Total,High school,22.0
2024,Quebec,55–64,Total,High school,21.0
2025,Quebec,55–64,Total,High school,21.0
2000,Quebec,55–64,Total,Master's/Doctoral,5.0
2001,Quebec,55–64,Total,Master's/Doctoral,5.0
2002,Quebec,55–64,Total,Master's/Doctoral,5.0
2003,Quebec,55–64,Total,Master's/Doctoral,6.0
2004,Quebec,55–64,Total,Master's/Doctoral,6.0
2005,Quebec,55–64,Total,Master's/Doctoral,5.0
2006,Quebec,55–64,Total,Master's/Doctoral,5.0
2007,Quebec,55–64,Total,Master's/Doctoral,6.0
2008,Quebec,55–64,Total,Master's/Doctoral,5.0
2009,Quebec,55–64,Total,Master's/Doctoral,6.0
2010,Quebec,55–64,Total,Master's/Doctoral,6.0
2011,Quebec,55–64,Total,Master's/Doctoral,7.0
2012,Quebec,55–64,Total,Master's/Doctoral,6.0
2013,Quebec,55–64,Total,Master's/Doctoral,7.0
2014,Quebec,55–64,Total,Master's/Doctoral,7.0
2015,Quebec,55–64,Total,Master's/Doctoral,6.0
2016,Quebec,55–64,Total,Master's/Doctoral,6.0
2017,Quebec,55–64,Total,Master's/Doctoral,6.0
2018,Quebec,55–64,Total,Master's/Doctoral,6.0
2019,Quebec,55–64,Total,Master's/Doctoral,7.0
2020,Quebec,55–64,Total,Master's/Doctoral,6.0
2021,Quebec,55–64,Total,Master's/Doctoral,7.0
2022,Quebec,55–64,Total,Master's/Doctoral,7.0
2023,Quebec,55–64,Total,Master's/Doctoral,7.0
2024,Quebec,55–64,Total,Master's/Doctoral,8.0
2025,Quebec,55–64,Total,Master's/Doctoral,9.0
2000,Quebec,55–64,Total,Tertiary (all),23.0
2001,Quebec,55–64,Total,Tertiary (all),27.0
2002,Quebec,55–64,Total,Tertiary (all),27.0
2003,Quebec,55–64,Total,Tertiary (all),28.0
2004,Quebec,55–64,Total,Tertiary (all),29.0
2005,Quebec,55–64,Total,Tertiary (all),31.0
2006,Quebec,55–64,Total,Tertiary (all),32.0
2007,Quebec,55–64,Total,Tertiary (all),33.0
2008,Quebec,55–64,Total,Tertiary (all),34.0
2009,Quebec,55–64,Total,Tertiary (all),35.0
2010,Quebec,55–64,Total,Tertiary (all),35.0
2011,Quebec,55–64,Total,Tertiary (all),38.0
2012,Quebec,55–64,Total,Tertiary (all),40.0
2013,Quebec,55–64,Total,Tertiary (all),39.0
2014,Quebec,55–64,Total,Tertiary (all),40.0
2015,Quebec,55–64,Total,Tertiary (all),40.0
2016,Quebec,55–64,Total,Tertiary (all),39.0
2017,Quebec,55–64,Total,Tertiary (all),40.0
2018,Quebec,55–64,Total,Tertiary (all),43.0
2019,Quebec,55–64,Total,Tertiary (all),44.0
2020,Quebec,55–64,Total,Tertiary (all),45.0
2021,Quebec,55–64,Total,Tertiary (all),45.0
2022,Quebec,55–64,Total,Tertiary (all),48.0
2023,Quebec,55–64,Total,Tertiary (all),48.0
2024,Quebec,55–64,Total,Tertiary (all),50.0
2025,Quebec,55–64,Total,Tertiary (all),49.0
2000,Quebec,55–64,Total,Trades and other non-tertiary,11.0
2001,Quebec,55–64,Total,Trades and other non-tertiary,12.0
2002,Quebec,55–64,Total,Trades and other non-tertiary,13.0
2003,Quebec,55–64,Total,Trades and other non-tertiary,14.0
2004,Quebec,55–64,Total,Trades and other non-tertiary,14.0
2005,Quebec,55–64,Total,Trades and other non-tertiary,15.0
2006,Quebec,55–64,Total,Trades and other non-tertiary,15.0
2007,Quebec,55–64,Total,Trades and other non-tertiary,16.0
2008,Quebec,55–64,Total,Trades and other non-tertiary,17.0
2009,Quebec,55–64,Total,Trades and other non-tertiary,16.0
2010,Quebec,55–64,Total,Trades and other non-tertiary,16.0
2011,Quebec,55–64,Total,Trades and other non-tertiary,16.0
2012,Quebec,55–64,Total,Trades and other non-tertiary,16.0
2013,Quebec,55–64,Total,Trades and other non-tertiary,15.0
2014,Quebec,55–64,Total,Trades and other non-tertiary,17.0
2015,Quebec,55–64,Total,Trades and other non-tertiary,15.0
2016,Quebec,55–64,Total,Trades and other non-tertiary,16.0
