province,year,expense,net_op_balance,revenue,net_fin_worth,gdp,revenue_pct_gdp,expense_pct_gdp,balance_pct_gdp,net_debt_pct_gdp
Quebec,2010,92818.0,-4075.0,88742.0,-126479.0,329129.0,26.962680286453033,28.201100480358765,-1.2381163616697404,38.42839737610481
Quebec,2011,95838.0,-17.0,95821.0,-138266.0,345763.0,27.712913180415487,27.717829842984937,-0.004916662569447858,39.98866275454574
Quebec,2012,99224.0,-3265.0,95959.0,-146157.0,355253.0,27.011453808975578,27.930517124415555,-0.9190633154399823,41.14166523576156
Quebec,2013,103311.0,-3668.0,99642.0,-135830.0,365802.0,27.23932619285843,28.24232781668772,-1.0027282518958343,37.13210972055921
Quebec,2014,104958.0,239.0,105197.0,-149309.0,376878.0,27.912746299863617,27.849330552592615,0.06341574727100016,39.61732974596554
Quebec,2015,106239.0,3712.0,109951.0,-136432.0,387667.0,28.362228407370242,27.40470558494791,0.9575228224223367,35.1930909775658
Quebec,2016,108256.0,3612.0,111869.0,-126963.0,399225.0,28.021541737115662,27.116538292942575,0.904752958857787,31.802367086229573
Quebec,2017,114695.0,3801.0,118496.0,-122359.0,418674.0,28.30268896563914,27.394822702150122,0.9078662634890153,29.22536388693829
Quebec,2018,119342.0,7739.0,127081.0,-116147.0,439686.0,28.902671451899764,27.142551730098297,1.7601197218014675,26.41589679907934
Quebec,2019,127949.0,3695.0,131644.0,-122546.0,459816.0,28.629712754667086,27.826130452180877,0.8035823024862119,26.651095220696973
Quebec,2020,142811.0,-3839.0,138973.0,-108758.0,451344.0,30.790926654613777,31.641275833953703,-0.8505707398348045,24.096476301889467
Quebec,2021,154645.0,-513.0,154132.0,-83716.0,507464.0,30.372991975785474,30.47408289060899,-0.10109091482351457,16.496933772642
Quebec,2022,164751.0,-3556.0,161195.0,-82394.0,556139.0,28.98466030974271,29.62406880294315,-0.6394084932004409,14.815360907974446
Quebec,2023,173762.0,-9384.0,164378.0,-95911.0,582495.0,28.219641370312193,29.83064232311007,-1.6110009527978781,16.465549060506955
Quebec,2024,187760.0,-15860.0,171899.0,-107025.0,616771.0,27.870798075785014,30.44241703971166,-2.571456829195925,17.35246955515094
Saskatchewan,2008,11947.0,2452.0,14399.0,-2551.0,67656.0,21.282665247723777,17.658448622442947,3.624216625280832,3.7705451105593
Saskatchewan,2009,12154.0,189.0,12343.0,-3145.0,60117.0,20.5316299881897,20.217243042733337,0.3143869454563601,5.2314653093135055
Saskatchewan,2010,13731.0,-489.0,13242.0,-2921.0,63402.0,20.885776473928267,21.6570455190688,-0.7712690451405319,4.607110185798556
Saskatchewan,2011,14013.0,-244.0,13769.0,-4177.0,74856.0,18.39398311424602,18.719942289195256,-0.3259591749492359,5.580047023618681
Saskatchewan,2012,14132.0,-12.0,14120.0,-3903.0,78006.0,18.10117170474066,18.11655513678435,-0.015383432043688947,5.0034612722098295
Saskatchewan,2013,14306.0,-90.0,14216.0,-3490.0,83209.0,17.084690358014157,17.192851734788302,-0.10816137677414704,4.194257832686368
Saskatchewan,2014,14521.0,-74.0,14446.0,-4970.0,82905.0,17.42476328327604,17.51522827332489,-0.08925879018153307,5.994813340570532
Saskatchewan,2015,15017.0,-1082.0,13935.0,-6539.0,79680.0,17.48870481927711,18.84663654618474,-1.3579317269076305,8.206576305220883
Saskatchewan,2016,15809.0,-2391.0,13418.0,-8160.0,75694.0,17.726636193093242,20.88540703358258,-3.158770840489339,10.780246783100377
Saskatchewan,2017,15226.0,-1080.0,14145.0,-9373.0,80257.0,17.62463087331946,18.97155388315038,-1.345677012597032,11.678732073214798
Saskatchewan,2018,16405.0,-976.0,15429.0,-10646.0,83672.0,18.439860407304714,19.606319915861935,-1.1664595085572236,12.723491729610862
Saskatchewan,2019,17029.0,-1048.0,15981.0,-11165.0,84501.0,18.91220222245891,20.152424231665897,-1.2402220092069915,13.212861386255783
Saskatchewan,2020,18374.0,-3042.0,15332.0,-11781.0,77778.0,19.712515107099694,23.6236467895806,-3.9111316824809075,15.146956722980793
Saskatchewan,2021,21504.0,-2141.0,19363.0,-11458.0,88352.0,21.91574610648316,24.339007605939877,-2.4232614994567183,12.96858022455632
Saskatchewan,2022,21147.0,1247.0,22394.0,-8651.0,117286.0,19.0934979451938,18.030284944494653,1.0632130006991456,7.375986903807787
Saskatchewan,2023,22833.0,-684.0,22150.0,-7516.0,112895.0,19.620000885778822,20.22498782054121,-0.6058727135834182,6.657513618849372
Saskatchewan,2024,24005.0,-2040.0,21966.0,-10534.0,112839.0,19.466673756414004,21.27367310947456,-1.8078855714779467,9.335424808798376
