year,fiscal_year,agency,agency_full,nominal
2018,2018/19,SSHRC,Social Sciences and Humanities Research Council of Canada,742.0
2018,2018/19,Other departments & agencies,Other departments and agencies,520.0
2018,2018/19,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",511.0
2018,2018/19,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,427.0
2018,2018/19,CFI,Canada Foundation for Innovation,401.0
2018,2018/19,National Defence,National Defence,352.0
2018,2018/19,Natural Resources Canada,Natural Resources Canada,284.0
2018,2018/19,Atomic Energy of Canada,Atomic Energy of Canada Limited,269.0
2018,2018/19,Environment & Climate Change,Environment and Climate Change Canada,173.0
2018,2018/19,Canadian Space Agency,Canadian Space Agency,156.0
2018,2018/19,Health Canada,Health Canada,133.0
2018,2018/19,Public Health Agency,Public Health Agency of Canada,46.0
2018,2018/19,Statistics Canada,Statistics Canada,32.0
2018,2018/19,Global Affairs Canada,Global Affairs Canada,12.0
2019,2019/20,NSERC,Natural Sciences and Engineering Research Council of Canada,1243.0
2019,2019/20,National Research Council,National Research Council Canada,1162.0
2019,2019/20,CIHR,Canadian Institutes of Health Research,1157.0
2019,2019/20,SSHRC,Social Sciences and Humanities Research Council of Canada,804.0
2019,2019/20,Other departments & agencies,Other departments and agencies,577.0
2019,2019/20,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",517.0
2019,2019/20,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,462.0
2019,2019/20,CFI,Canada Foundation for Innovation,374.0
2019,2019/20,National Defence,National Defence,347.0
2019,2019/20,Natural Resources Canada,Natural Resources Canada,330.0
2019,2019/20,Atomic Energy of Canada,Atomic Energy of Canada Limited,276.0
2019,2019/20,Environment & Climate Change,Environment and Climate Change Canada,190.0
2019,2019/20,Canadian Space Agency,Canadian Space Agency,172.0
2019,2019/20,Public Health Agency,Public Health Agency of Canada,77.0
2019,2019/20,Health Canada,Health Canada,48.0
2019,2019/20,Statistics Canada,Statistics Canada,48.0
2019,2019/20,Global Affairs Canada,Global Affairs Canada,24.0
2020,2020/21,National Research Council,National Research Council Canada,1674.0
2020,2020/21,CIHR,Canadian Institutes of Health Research,1457.0
2020,2020/21,SSHRC,Social Sciences and Humanities Research Council of Canada,1271.0
2020,2020/21,NSERC,Natural Sciences and Engineering Research Council of Canada,1256.0
2020,2020/21,Other departments & agencies,Other departments and agencies,910.0
2020,2020/21,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",709.0
2020,2020/21,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,450.0
2020,2020/21,CFI,Canada Foundation for Innovation,389.0
2020,2020/21,National Defence,National Defence,360.0
2020,2020/21,Natural Resources Canada,Natural Resources Canada,355.0
2020,2020/21,Environment & Climate Change,Environment and Climate Change Canada,186.0
2020,2020/21,Canadian Space Agency,Canadian Space Agency,173.0
2020,2020/21,Health Canada,Health Canada,49.0
2020,2020/21,Statistics Canada,Statistics Canada,49.0
2020,2020/21,Global Affairs Canada,Global Affairs Canada,25.0
2021,2021/22,National Research Council,National Research Council Canada,1362.0
2021,2021/22,CIHR,Canadian Institutes of Health Research,1337.0
2021,2021/22,NSERC,Natural Sciences and Engineering Research Council of Canada,1264.0
